RA,CE,Porcentaje,Descripción
1,a,"0.111",Se han identificado los bloques que componen la estructura de un programa informático.
1,b,"0.111",Se han utilizado entornos integrados de desarrollo.
1,c,"0.111",Se han creado proyectos de desarrollo de aplicaciones.
1,d,"0.111",Se han identificado los distintos tipos de variables y la utilidad específica de cada uno.
1,e,"0.111",Se ha modificado el código de un programa para crear y utilizar variables.
1,f,"0.111",Se han creado y utilizado constantes y literales.
1,g,"0.111","Se han clasificado, reconocido y utilizado en expresiones los operadores del lenguaje."
1,h,"0.111",Se ha comprobado el funcionamiento de las conversiones de tipo explícitas e implícitas.
1,i,"0.111",Se han introducido comentarios en el código.
2,a,"0.111",Se han identificado los fundamentos de la programación orientada a objetos.
2,b,"0.111",Se han instanciado objetos a partir de clases predefinidas.
2,c,"0.111",Se han utilizado constructores.
2,d,"0.111",Se han utilizado métodos y propiedades de los objetos.
2,e,"0.111",Se han escrito llamadas a métodos estáticos.
2,f,"0.111",Se han utilizado parámetros en la llamada a métodos.
2,g,"0.111",Se han incorporado y utilizado librerías de objetos.
2,h,"0.111",Se han escrito programas simples.
2,i,"0.111",Se ha utilizado el entorno integrado de desarrollo en la creación y compilación de programas simples.
3,a,"0.111",Se ha escrito y probado código que haga uso de estructuras de selección.
3,b,"0.111",Se han utilizado estructuras de repetición.
3,c,"0.111",Se han reconocido las posibilidades de las sentencias de salto.
3,d,"0.111",Se ha escrito código utilizando control de excepciones.
3,e,"0.111",Se han creado excepciones.
3,f,"0.111",Se han creado programas ejecutables utilizando diferentes estructuras de control.
3,g,"0.111",Se han probado y depurado los programas.
3,h,"0.111",Se han utilizado aserciones para la detección y corrección de errores durante la fase de desarrollo.
3,i,"0.111",Se ha comentado y documentado el código.
4,a,"0.111","Se ha reconocido la sintaxis, estructura y componentes típicos de una clase."
4,b,"0.111",Se han definido clases.
4,c,"0.111",Se han definido propiedades y métodos.
4,d,"0.111",Se han creado y utilizado métodos estáticos.
4,e,"0.111",Se han creado constructores.
4,f,"0.111",Se han utilizado mecanismos para controlar la visibilidad de las clases y de sus miembros.
4,g,"0.111",Se han desarrollado programas que instancien y utilicen objetos de las clases creadas anteriormente.
4,h,"0.111",Se han definido y utilizado clases heredadas.
4,i,"0.111",Se han creado y utilizado conjuntos y librerías de clases.
5,a,"0.125",Se ha utilizado la consola para realizar operaciones de entrada y salida de información.
5,b,"0.125",Se han aplicado formatos en la visualización de la información.
5,c,"0.125",Se han reconocido las posibilidades de entrada / salida del lenguaje y las librerías asociadas.
5,d,"0.125",Se han utilizado ficheros para almacenar y recuperar información.
5,e,"0.125",Se han creado programas que utilicen diversos métodos de acceso al contenido de los ficheros.
5,f,"0.125",Se han utilizado las herramientas del entorno de desarrollo para crear interfaces gráficos de usuario simples.
5,g,"0.125",Se han programado controladores de eventos.
5,h,"0.125",Se han escrito programas que utilicen interfaces gráficos para la entrada y salida de información.
6,a,"0.10",Se han escrito programas que utilicen matrices (arrays).
6,b,"0.10",Se han reconocido las librerías de clases relacionadas con tipos de datos avanzados.
6,c,"0.10",Se han reconocido las características y ventajas de cada una de la colecciones de datos disponibles.
6,d,"0.10",Se han utilizado listas para almacenar y procesar información.
6,e,"0.10",Se han utilizado iteradores para recorrer los elementos de las listas.
6,f,"0.10",Se han utilizado operaciones agregadas para el manejo de información almacenada en colecciones.
6,g,"0.10",Se han creado clases y métodos genéricos.
6,h,"0.10",Se han utilizado expresiones regulares en la búsqueda de patrones en cadenas de texto.
6,i,"0.10",Se han identificado las clases relacionadas con el tratamiento de documentos escritos en diferentes lenguajes de intercambio de datos.
6,j,"0.10",Se han realizado programas que realicen manipulaciones sobre documentos escritos en diferentes lenguajes de intercambio de datos.
7,a,"0.10",Se han identificado y evaluado los escenarios de utilización de la herencia y la composición.
