ud,ra,ce
1,1,a
1,2,a
2,1,b
2,1,c
2,2,a
3,1,d
3,1,e
3,1,f
3,1,g
3,2,b
3,2,c
3,2,d
3,2,e
3,2,f
3,2,g
3,2,h
3,2,i
4,1,d
4,1,f
4,1,g
4,1,h
5,1,e
5,1,f
5,1,i
6,4,d
7,1,d
7,1,e
7,1,f
7,1,g
8,1,e
9,5,a
9,5,c
10,3,a
10,3,b
10,3,c
10,3,d
10,3,e
10,3,f
10,3,g
10,3,i
11,3,a
11,3,b
11,3,c
11,3,d
11,3,e
11,3,f
11,3,g
11,3,h
11,3,i
12,6,b
12,6,c
12,6,e
12,6,f
13,5,b
13,6,a
13,6,b
13,6,c
13,6,d
13,6,h
14,6,b
14,6,c
14,6,i
14,6,j
15,5,c
15,5,d
15,5,e
16,4,i
17,4,b
17,4,e
18,3,h
18,4,a
18,4,b
18,4,c
18,4,d
18,4,e
18,4,f
18,4,g
18,4,i
18,6,g
19,3,h
19,4,a
19,4,b
19,4,c
19,4,d
19,4,e
19,4,f
19,4,g
19,4,i
19,6,g
20,4,a
20,4,b
20,4,c
20,4,d
20,4,e
20,4,f
20,4,g
20,4,h
20,4,i
20,7,a
20,7,b
20,7,c
20,7,d
20,7,e
20,7,f
20,7,g
20,7,h
20,7,i
20,7,j
21,5,f
21,5,g
21,5,h
22,8,a
22,8,b
22,8,c
22,8,d
22,8,e
22,8,f
22,8,g
22,8,h
23,9,a
23,9,b
23,9,c
23,9,d
23,9,e
23,9,f
23,9,g
